path,font,char,code,label
char\瑞字\瑞字 楷书 柳公权.jpg,0,瑞,1087,0 1087
char\越字\越字 隶书 钱松.jpg,1,越,1659,1 1659
char\胡字\胡字 草书 沈学植.jpg,3,胡,1366,3 1366
char\攸字\攸字 行书 饶介.jpg,2,攸,725,2 725
char\概字\概字 草书 毛泽东.jpg,3,概,855,3 855
char\終字\終字 草书 毛泽东.jpg,3,终,1273,3 1273
char\读字\读字 行书 礼实.jpg,2,读,1602,2 1602
char\际字\际字 草书 康里子山.jpg,3,际,1841,3 1841
char\宪字\宪字 草书 皇象.jpg,3,宪,425,3 425
char\欠字\欠字 行书 近人.jpg,2,欠,877,2 877
char\规字\规字 隶书 乙瑛碑.jpg,1,规,1528,1 1528
char\閣字\閣字 草书 王宠.jpg,3,阁,1824,3 1824
char\終字\終字 行书 空海.jpg,2,终,1273,2 1273
char\訪字\訪字 篆书 杨沂孙.jpg,4,访,1536,4 1536
char\墳字\墳字 草书 黄道周.jpg,3,坟,328,3 328
char\剩字\剩字 行书 敬世江.jpg,2,剩,193,2 193
char\範字\範字 行书 孙过庭.jpg,2,范,1239,2 1239
char\務字\務字 楷书 智永.jpg,0,务,201,0 201
char\陪字\陪字 隶书 王澍.jpg,1,陪,1848,1 1848
char\苦字\苦字 草书 敬世江.jpg,3,苦,1412,3 1412
char\宮字\宮字 草书 李世民.jpg,3,宫,426,3 426
char\墻字\墻字 草书 索靖.jpg,3,墙,345,3 345
char\塞字\塞字 行书 陆柬之.jpg,2,塞,341,2 341
char\筆字\筆字 草书 赵构.jpg,3,笔,1223,3 1223
char\致字\致字 行书 陆继善.jpg,2,致,1287,2 1287
char\阴字\阴字 草书 蔡襄.jpg,3,阴,1838,3 1838
char\莊字\莊字 草书 谢庄.jpg,3,庄,1426,3 1426
char\憾字\憾字 草书 毛泽东.jpg,3,憾,634,3 634
char\练字\练字 楷书 柳公权.jpg,0,练,1309,0 1309
char\肴字\肴字 草书 敬世江.jpg,3,肴,1361,3 1361
char\察字\察字 行书 赵构.jpg,2,察,440,2 440
char\黄字\黄字 行书 黄仲则.jpg,2,黄,1983,2 1983
char\些字\些字 行书 米芾.jpg,2,些,35,2 35
char\塞字\塞字 草书 宋克.jpg,3,塞,341,3 341
char\誥字\誥字 行书 郑板桥.jpg,2,诰,1553,2 1553
char\肯字\肯字 行书 张瑞图.jpg,2,肯,1360,2 1360
char\穿字\穿字 行书 明人.jpg,2,穿,1203,2 1203
char\聖字\聖字 楷书 虞世南.jpg,0,圣,321,0 321
char\糠字\糠字 行书 赵孟頫.jpg,2,糠,1255,2 1255
char\炊字\炊字 行书 敬世江.jpg,2,炊,1018,2 1018
char\禮字\禮字 草书 怀素.jpg,3,礼,1164,3 1164
char\烦字\烦字 隶书 顾蔼吉.jpg,1,烦,1024,1 1024
char\历字\历字 草书 王羲之.jpg,3,历,240,3 240
